Key,year,month,day_of_month,full_date,time_of_game,away_team_name,away_team_league,home_team_name,home_team_league
791,2016,04,23,04/23/2016,08:05 PM,Marlins,NL,Giants,NL
1139,2016,04,23,04/23/2016,12:05 PM,Twins,AL,Nationals,NL
321,2016,04,23,04/23/2016,12:05 PM,Rays,AL,Yankees,AL
535,2016,04,23,04/23/2016,12:07 PM,Athletics,AL,Blue Jays,AL
1337,2016,04,23,04/23/2016,12:10 PM,Indians,AL,Tigers,AL
1049,2016,04,24,04/24/2016,01:10 PM,Phillies,NL,Brewers,NL
1236,2016,04,24,04/24/2016,01:10 PM,Rangers,AL,White Sox,AL
18,2016,04,24,04/24/2016,01:15 PM,Orioles,AL,Royals,AL
2119,2016,04,24,04/24/2016,02:35 PM,Mariners,AL,Angels,AL
792,2016,04,24,04/24/2016,03:05 PM,Marlins,NL,Giants,NL
1921,2016,04,24,04/24/2016,03:10 PM,Pirates,NL,Diamondbacks,NL
2324,2016,04,24,04/24/2016,03:10 PM,Dodgers,NL,Rockies,NL
1983,2016,04,24,04/24/2016,03:40 PM,Cardinals,NL,Padres,NL
177,2016,04,24,04/24/2016,07:05 PM,Red Sox,AL,Astros,AL
322,2016,04,24,04/24/2016,12:05 PM,Rays,AL,Yankees,AL
536,2016,04,24,04/24/2016,12:07 PM,Athletics,AL,Blue Jays,AL
1613,2016,04,24,04/24/2016,12:10 PM,Cubs,NL,Reds,NL
1338,2016,04,24,04/24/2016,12:10 PM,Indians,AL,Tigers,AL
637,2016,04,24,04/24/2016,12:35 PM,Mets,NL,Braves,NL
1140,2016,04,24,04/24/2016,12:35 PM,Twins,AL,Nationals,NL
537,2016,04,25,04/25/2016,06:07 PM,White Sox,AL,Blue Jays,AL
178,2016,04,25,04/25/2016,06:10 PM,Red Sox,AL,Braves,NL
928,2016,04,25,04/25/2016,06:10 PM,Reds,NL,Mets,NL
19,2016,04,25,04/25/2016,06:10 PM,Orioles,AL,Rays,AL
1438,2016,04,25,04/25/2016,06:10 PM,Athletics,AL,Tigers,AL
323,2016,04,25,04/25/2016,07:05 PM,Yankees,AL,Rangers,AL
1339,2016,04,25,04/25/2016,07:10 PM,Indians,AL,Twins,AL
1922,2016,04,25,04/25/2016,07:40 PM,Pirates,NL,Rockies,NL
1984,2016,04,25,04/25/2016,08:40 PM,Cardinals,NL,Diamondbacks,NL
1512,2016,04,25,04/25/2016,09:05 PM,Royals,AL,Angels,AL
793,2016,04,25,04/25/2016,09:10 PM,Marlins,NL,Dodgers,NL
2033,2016,04,25,04/25/2016,09:10 PM,Astros,AL,Mariners,AL
2411,2016,04,25,04/25/2016,09:15 PM,Padres,NL,Giants,NL
1050,2016,04,26,04/26/2016,06:05 PM,Phillies,NL,Nationals,NL
538,2016,04,26,04/26/2016,06:07 PM,White Sox,AL,Blue Jays,AL
179,2016,04,26,04/26/2016,06:10 PM,Red Sox,AL,Braves,NL
929,2016,04,26,04/26/2016,06:10 PM,Reds,NL,Mets,NL
20,2016,04,26,04/26/2016,06:10 PM,Orioles,AL,Rays,AL
1439,2016,04,26,04/26/2016,06:10 PM,Athletics,AL,Tigers,AL
1614,2016,04,26,04/26/2016,07:05 PM,Brewers,NL,Cubs,NL
324,2016,04,26,04/26/2016,07:05 PM,Yankees,AL,Rangers,AL
1340,2016,04,26,04/26/2016,07:10 PM,Indians,AL,Twins,AL
1923,2016,04,26,04/26/2016,07:40 PM,Pirates,NL,Rockies,NL
1985,2016,04,26,04/26/2016,08:40 PM,Cardinals,NL,Diamondbacks,NL
1513,2016,04,26,04/26/2016,09:05 PM,Royals,AL,Angels,AL
794,2016,04,26,04/26/2016,09:10 PM,Marlins,NL,Dodgers,NL
2034,2016,04,26,04/26/2016,09:10 PM,Astros,AL,Mariners,AL
2412,2016,04,26,04/26/2016,09:15 PM,Padres,NL,Giants,NL
2413,2016,04,27,04/27/2016,02:45 PM,Padres,NL,Giants,NL
1051,2016,04,27,04/27/2016,06:05 PM,Phillies,NL,Nationals,NL
539,2016,04,27,04/27/2016,06:07 PM,White Sox,AL,Blue Jays,AL
930,2016,04,27,04/27/2016,06:10 PM,Reds,NL,Mets,NL
21,2016,04,27,04/27/2016,06:10 PM,Orioles,AL,Rays,AL
180,2016,04,27,04/27/2016,06:10 PM,Braves,NL,Red Sox,AL
1440,2016,04,27,04/27/2016,06:10 PM,Athletics,AL,Tigers,AL
1615,2016,04,27,04/27/2016,07:05 PM,Brewers,NL,Cubs,NL
325,2016,04,27,04/27/2016,07:05 PM,Yankees,AL,Rangers,AL
1341,2016,04,27,04/27/2016,07:10 PM,Indians,AL,Twins,AL
1924,2016,04,27,04/27/2016,07:40 PM,Pirates,NL,Rockies,NL
1986,2016,04,27,04/27/2016,08:40 PM,Cardinals,NL,Diamondbacks,NL
1514,2016,04,27,04/27/2016,09:05 PM,Royals,AL,Angels,AL
795,2016,04,27,04/27/2016,09:10 PM,Marlins,NL,Dodgers,NL
2035,2016,04,27,04/27/2016,09:10 PM,Astros,AL,Mariners,AL
1616,2016,04,28,04/28/2016,01:20 PM,Brewers,NL,Cubs,NL
1925,2016,04,28,04/28/2016,02:10 PM,Pirates,NL,Rockies,NL
1052,2016,04,28,04/28/2016,03:05 PM,Phillies,NL,Nationals,NL
22,2016,04,28,04/28/2016,06:05 PM,White Sox,AL,Orioles,AL
181,2016,04,28,04/28/2016,06:10 PM,Braves,NL,Red Sox,AL
