Key,year,month,day_of_month,full_date,time_of_game,away_team_name,away_team_league,home_team_name,home_team_league
247,2016,04,22,04/22/2016,07:15 PM,Orioles,AL,Royals,AL
248,2016,04,22,04/22/2016,07:40 PM,Dodgers,NL,Rockies,NL
249,2016,04,22,04/22/2016,08:40 PM,Pirates,NL,Diamondbacks,NL
250,2016,04,22,04/22/2016,09:05 PM,Mariners,AL,Angels,AL
251,2016,04,22,04/22/2016,09:15 PM,Marlins,NL,Giants,NL
252,2016,04,22,04/22/2016,09:40 PM,Cardinals,NL,Padres,NL
253,2016,04,23,04/23/2016,01:10 PM,Rangers,AL,White Sox,AL
254,2016,04,23,04/23/2016,03:05 PM,Red Sox,AL,Astros,AL
255,2016,04,23,04/23/2016,06:10 PM,Mets,NL,Braves,NL
256,2016,04,23,04/23/2016,06:10 PM,Phillies,NL,Brewers,NL
257,2016,04,23,04/23/2016,06:10 PM,Cubs,NL,Reds,NL
258,2016,04,23,04/23/2016,06:15 PM,Orioles,AL,Royals,AL
259,2016,04,23,04/23/2016,07:10 PM,Pirates,NL,Diamondbacks,NL
260,2016,04,23,04/23/2016,07:10 PM,Dodgers,NL,Rockies,NL
261,2016,04,23,04/23/2016,07:40 PM,Cardinals,NL,Padres,NL
262,2016,04,23,04/23/2016,08:05 PM,Mariners,AL,Angels,AL
263,2016,04,23,04/23/2016,08:05 PM,Marlins,NL,Giants,NL
264,2016,04,23,04/23/2016,12:05 PM,Twins,AL,Nationals,NL
265,2016,04,23,04/23/2016,12:05 PM,Rays,AL,Yankees,AL
266,2016,04,23,04/23/2016,12:07 PM,Athletics,AL,Blue Jays,AL
267,2016,04,23,04/23/2016,12:10 PM,Indians,AL,Tigers,AL
268,2016,04,24,04/24/2016,01:10 PM,Phillies,NL,Brewers,NL
269,2016,04,24,04/24/2016,01:10 PM,Rangers,AL,White Sox,AL
270,2016,04,24,04/24/2016,01:15 PM,Orioles,AL,Royals,AL
271,2016,04,24,04/24/2016,02:35 PM,Mariners,AL,Angels,AL
272,2016,04,24,04/24/2016,03:05 PM,Marlins,NL,Giants,NL
273,2016,04,24,04/24/2016,03:10 PM,Pirates,NL,Diamondbacks,NL
274,2016,04,24,04/24/2016,03:10 PM,Dodgers,NL,Rockies,NL
275,2016,04,24,04/24/2016,03:40 PM,Cardinals,NL,Padres,NL
276,2016,04,24,04/24/2016,07:05 PM,Red Sox,AL,Astros,AL
277,2016,04,24,04/24/2016,12:05 PM,Rays,AL,Yankees,AL
278,2016,04,24,04/24/2016,12:07 PM,Athletics,AL,Blue Jays,AL
279,2016,04,24,04/24/2016,12:10 PM,Cubs,NL,Reds,NL
280,2016,04,24,04/24/2016,12:10 PM,Indians,AL,Tigers,AL
281,2016,04,24,04/24/2016,12:35 PM,Mets,NL,Braves,NL
282,2016,04,24,04/24/2016,12:35 PM,Twins,AL,Nationals,NL
283,2016,04,25,04/25/2016,06:07 PM,White Sox,AL,Blue Jays,AL
284,2016,04,25,04/25/2016,06:10 PM,Red Sox,AL,Braves,NL
285,2016,04,25,04/25/2016,06:10 PM,Reds,NL,Mets,NL
286,2016,04,25,04/25/2016,06:10 PM,Orioles,AL,Rays,AL
287,2016,04,25,04/25/2016,06:10 PM,Athletics,AL,Tigers,AL
288,2016,04,25,04/25/2016,07:05 PM,Yankees,AL,Rangers,AL
