playername|playerid
Logan Verrett|12905.0
Brian Wilson|6485.0
Yohan Flande|5057.0
Asher Wojciechowski|10836.0
Shae Simmons|14200.0
Scott Rice|2743.0
Josh Kinney|3638.0
Kyle Barraclough|13713.0
Joe Ortiz|7955.0
Vinnie Chulk|1838.0
Brad Bergesen|8375.0
Mike Ekstrom|7488.0
Scott Elbert|7489.0
Chris Martin|11847.0
Joe Martinez|3935.0
Oliver Drake|8823.0
Matthew Wisler|12804.0
John Leathersich|12562.0
Ryan Mattheus|7169.0
Chad Jenkins|10326.0
A.J. Cole|11467.0
Travis Blackley|3234.0
Josh Edgin|10796.0
Trevor Gott|15046.0
Kenneth Roberts|10938.0
Kyle McPherson|5009.0
Zachary Godley|14862.0
Ryan Feierabend|6336.0
Sammy Solis|11457.0
Cole DeVries|8201.0
Hisanori Takahashi|10091.0
Stolmy Pimentel|6415.0
Jason Lane|1397.0
Jose Contreras|1660.0
Aaron Poreda|4313.0
Pat Venditte|7108.0
Lisalverto Bonilla|11266.0
Keith Butler|10080.0
Yoslan Herrera|7759.0
Jeremy Affeldt|583.0
Chaz Roe|9866.0
Michael Kirkman|9877.0
Tim Dillard|5518.0
Andrew McKirahan|12870.0
Ben Rowen|10983.0
Anthony Bass|7982.0
Ricky Romero|3403.0
Jeremy Accardo|6428.0
Neil Wagner|8162.0
Shawn Armstrong|12857.0
Silvino Bracho|15051.0
Jonny Venters|7175.0
Jose Valverde|1726.0
Sandy Rosario|1525.0
Ernesto Frieri|5178.0
John Gast|11133.0
Kyle Farnsworth|278.0
Michael Gonzalez|1794.0
Simon Castro|9243.0
Alex White|10054.0
Ryan Rowland-Smith|3245.0
Charles Brewer|9155.0
John Axford|9059.0
Austin Adams|7411.0
Chi Chi Gonzalez|14663.0
Todd Coffey|2467.0
Leonel Campos|12277.0
Nick Rumbelow|14867.0
David Herndon|9264.0
Greg Burke|6282.0
Chris Davis|9272.0
Chris Beck|13418.0
Matt West|7980.0
Evan Reed|1349.0
Christian Garcia|4067.0
Jose Urena|11589.0
Mauricio Robles|8895.0
Michael Stutes|6550.0
Heath Bell|2080.0
Evan Scribner|7525.0
Jay Jackson|7432.0
Kris Johnson|886.0
Bryan Mitchell|11479.0
Jaye Chapman|9096.0
Casey Kelly|9174.0
Cory Wade|7570.0
Steven Ames|9615.0
Kyuji Fujikawa|14443.0
David Martinez|8893.0
Eric Fornataro|7042.0
Roman Colon|2242.0
Brian Ellington|17233.0
Rob Johnson|8029.0
Chasen Shreve|10855.0
Louis Coleman|9720.0
Steven Wright|8185.0
Brad Lincoln|4241.0
David Goforth|12166.0
Giovanni Soto|10330.0
Kyle Davies|3642.0
Stephen Pryor|10663.0
Melvin Mercedes|10181.0
James Pazos|13323.0
Justin Hampson|2209.0
Danny Worth|198.0
Tyson Brummett|509.0
Steve Tolleson|4450.0
Chad Beck|9258.0
Chris Reed|12801.0
Edwin Escobar|10337.0
Chris Dwyer|10045.0
Enerio Del Rosario|4204.0
Luke Putkonen|6736.0
Brian Bruney|1929.0
Casey Sadler|11209.0
Jason Gurka|8007.0
Donnie Joseph|6491.0
Tommy Kahnle|11384.0
Tyler Wagner|13796.0
Rick VandenHurk|5099.0
Carl Edwards|13607.0
Jose Valdez|3217.0
Duke Welker|792.0
Erik Johnson|12520.0
Adam LaRoche|1904.0
Clint Robinson|6908.0
Chris Gimenez|7324.0
Jhan Marinez|5830.0
Jamie Moyer|1091.0
Brian Johnson|14272.0
Scott McGough|12056.0
John McDonald|395.0
Drew VerHagen|13424.0
Josh Spence|11260.0
Brendan Ryan|6073.0
Alberto Cabrera|8352.0
David Ross|1551.0
Nefi Ogando|12253.0
Eric Hacker|8743.0
Diego Moreno|6238.0
Arquimedes Caminero|8992.0
Justin Nicolino|11754.0
Mitch Maier|5588.0
Jamey Carroll|1591.0
Chad Smith|13604.0
Dean Anna|8353.0
J.P. Arencibia|697.0
Mitch Moreland|3086.0
Martin Maldonado|6887.0
Ichiro Suzuki|1101.0
Jaff Decker|7945.0
